,0.178,0.706,1.068,2.068,3.198,3.943,5.883,7.107,8.011,9.840,10.866,11.903,12.922,13.707,14.550,15.488,16.196,16.900,17.608,18.313,19.012,19.689,20.412,21.055,21.808,22.510,23.209,23.911,24.677,25.310,26.007,26.705,27.468,27.779,28.420,29.000,29.600,30.100,30.551,31.540,32.120,32.743,33.650,34.898,36.073,37.225,42.359,45.230,49.070,51.095,54
0,86.0,79.88,85.31,88.11,88.86,89.05,85.62,88.31,94.69,85.92,70.0,81.0,,90.0,92.0,86.5,77.43,76.88,80.8,84.33,83.74,82.85,86.39,80.83,84.29,83.2,81.67,83.5,81.92,83.08,85.22,75.08,83.14,83.0,98.71,89.75,64.33,84.67,87.33,94.46,90.77,93.0,89.45,86.78,99.0,98.0,97.6,104.0,102.14,94.0,95.75
1,,,,,92.0,,,80.59,74.02,84.87,71.05,88.96,88.38,86.54,95.54,85.22,73.13,76.97,78.68,81.71,82.77,82.16,82.46,80.41,84.68,,,,,,,,89.0,21.55,88.47,99.45,66.5,,,96.4,,,,,,,91.41,,92.75,,92.12
2,,,,,73.57,,,75.76,91.29,82.76,74.28,91.88,92.2,90.39,92.08,84.83,74.41,79.81,80.96,84.14,86.3,87.18,87.41,80.41,87.74,,,,,,,,89.42,5.8,91.14,90.65,69.39,,,97.48,,,,,100.08,,95.91,,90.54,,95.3
3,,,,,94.39,,,85.12,87.44,86.32,74.22,88.29,89.37,89.06,94.03,86.71,77.47,82.04,84.55,85.45,87.53,86.98,89.07,82.84,87.59,,,,,,,,90.63,4.56,97.34,95.2,63.82,,,100.34,,,,,100.28,,88.96,,95.77,,99.97
4,82.22,77.03,85.22,86.75,85.75,94.0,82.0,83.95,94.14,83.5,75.95,91.26,92.63,94.49,93.11,87.31,78.49,80.79,83.98,87.93,86.69,86.94,89.49,83.68,88.12,90.1,56.47,85.16,86.85,84.82,83.0,75.2,88.98,83.14,88.77,91.87,69.86,87.22,88.42,94.74,92.92,90.5,87.0,85.2,98.17,92.78,96.79,101.0,106.56,89.25,98.55
5,84.79,80.54,90.47,88.65,88.02,89.42,85.0,90.65,96.43,82.08,74.83,92.3,92.2,93.26,98.72,87.46,75.91,80.12,81.52,85.13,83.61,85.52,86.25,81.43,85.67,86.96,85.51,87.3,88.52,85.88,81.65,75.51,90.16,88.69,93.17,97.55,72.78,95.8,96.43,98.29,99.6,91.27,86.54,89.28,94.39,95.36,100.37,95.62,90.25,96.88,91.53
6,89.25,76.82,84.34,85.0,82.77,90.06,83.72,88.69,91.08,88.21,73.89,88.7,90.08,87.03,92.16,84.13,73.0,78.18,83.21,89.09,89.68,86.47,84.41,84.51,91.06,90.83,90.02,88.08,88.66,87.96,84.53,78.5,91.11,92.3,96.62,90.71,64.43,91.64,101.76,92.81,105.0,95.0,95.69,82.57,103.04,103.56,95.3,98.0,94.61,95.91,92.83
7,85.7,78.2,84.13,87.19,83.54,84.2,83.13,89.66,92.93,89.62,74.38,89.45,97.41,96.18,97.33,88.1,79.62,84.05,86.09,87.18,87.24,86.75,86.76,82.86,88.96,90.42,90.12,85.65,88.86,88.5,80.29,72.93,89.83,89.69,90.89,90.75,70.33,93.4,87.85,92.75,91.27,85.8,85.05,86.73,89.38,97.6,95.4,94.29,93.25,101.15,96.69
8,86.1,77.33,80.23,88.39,82.69,82.58,86.43,94.62,99.33,85.37,75.53,98.09,97.39,91.04,97.41,88.41,72.67,80.18,84.11,85.59,81.8,84.85,87.93,76.33,88.62,90.56,88.53,82.05,88.03,88.58,83.73,74.21,85.63,87.98,88.53,84.52,64.89,88.28,89.52,97.36,89.09,87.33,85.38,87.13,98.75,105.45,93.69,96.86,93.36,92.69,89.54
9,84.71,80.17,88.85,87.98,89.11,88.54,85.08,84.33,90.3,92.73,74.11,93.41,96.18,87.4,92.2,89.14,63.74,72.64,82.66,79.39,79.47,83.78,85.19,80.9,85.79,85.67,86.96,84.0,85.68,85.46,84.14,76.0,88.52,87.61,96.18,89.24,68.67,98.26,93.93,98.33,104.07,97.15,89.5,85.48,101.22,101.69,91.44,102.86,95.36,110.01,101.29
10,85.25,78.35,88.33,89.26,87.27,87.84,81.52,82.19,89.2,84.93,75.62,83.0,88.22,83.0,88.89,86.62,74.93,78.48,83.07,91.23,87.33,91.67,86.6,85.05,88.26,87.03,87.41,90.25,90.83,90.52,83.31,78.1,92.1,91.9,95.36,90.44,80.46,97.17,90.0,95.06,89.21,92.06,90.32,87.36,93.97,91.26,98.67,97.17,104.48,90.92,84.53
11,91.4,81.45,85.16,85.61,94.82,85.12,82.63,82.88,84.88,85.53,73.0,89.8,90.54,94.83,95.24,88.73,77.03,83.51,86.64,88.55,87.46,90.45,86.6,82.03,88.41,88.9,85.85,86.62,87.52,86.76,84.26,74.26,91.48,90.09,94.62,87.91,66.31,84.25,82.75,95.43,87.5,95.43,93.95,86.5,103.26,101.3,100.89,104.83,101.69,87.32,73.0
12,85.03,76.35,84.57,85.11,88.76,85.52,89.81,85.06,104.44,89.07,80.8,97.48,92.4,92.62,98.08,86.12,78.65,79.64,79.83,83.0,91.47,87.72,88.69,78.92,87.49,90.62,89.32,85.6,96.32,88.27,84.45,74.86,86.67,89.27,95.88,96.15,70.82,93.09,92.93,104.93,100.58,101.41,96.65,87.93,,107.76,94.05,90.22,83.66,90.78,86.15
13,99.81,86.41,92.72,90.0,105.55,96.37,90.4,88.82,93.64,83.76,79.6,95.8,93.39,89.24,92.25,84.9,76.43,81.54,86.07,90.6,88.24,88.87,89.38,82.25,91.0,92.0,90.94,88.55,89.71,91.04,86.66,81.09,92.88,90.97,91.27,94.06,72.36,93.28,88.36,96.95,99.36,91.1,88.91,88.67,91.0,94.33,93.19,90.0,94.77,93.14,88.89
14,97.67,83.46,88.81,86.88,90.09,81.89,82.0,89.16,97.43,88.48,76.45,89.84,96.5,90.53,99.0,86.69,79.15,83.25,85.12,87.04,87.83,87.84,86.42,83.03,85.96,87.28,88.28,87.03,88.38,89.48,82.08,71.17,89.41,90.92,90.88,90.25,69.5,88.46,93.38,96.22,95.94,90.6,88.86,91.79,89.91,98.5,91.2,107.5,117.0,89.0,102.43
15,92.57,82.71,93.04,89.2,84.32,85.64,88.05,93.31,92.55,92.37,83.65,90.45,95.82,92.29,91.89,87.77,77.89,82.35,78.34,81.06,89.04,86.41,83.92,77.02,85.52,90.9,87.12,83.09,84.89,89.37,85.92,73.91,88.68,88.18,90.23,92.47,58.88,97.23,94.62,90.83,83.25,90.07,86.0,87.25,101.27,105.32,98.12,96.33,91.29,98.73,96.0
16,97.02,85.23,86.16,95.21,102.56,100.67,82.67,90.43,97.65,85.16,75.53,97.57,90.05,88.33,94.71,80.48,68.86,79.88,81.26,82.74,82.12,88.15,84.0,77.06,87.06,89.16,90.27,84.92,87.19,87.21,83.53,75.75,89.11,86.85,95.91,93.94,71.97,96.31,106.56,109.0,101.66,104.57,98.53,85.86,90.0,102.5,93.91,110.57,105.57,94.33,85.82
17,87.0,79.94,82.72,86.61,85.61,84.45,87.6,95.25,92.72,86.9,78.65,93.32,99.67,91.57,92.2,87.83,75.91,82.67,85.79,88.54,84.91,83.39,86.87,81.05,85.07,86.16,89.88,89.27,84.38,81.52,83.61,79.78,93.76,89.96,90.67,97.12,61.06,91.64,95.73,98.09,100.37,92.67,88.35,84.11,100.75,88.51,102.43,93.67,98.64,94.56,94.94
